name,artist,cluster_main,sub_cluster,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id
Se Eu Quiser Falar Com Deus,Gilberto Gil,4,0,0.6804550155118925,0.259,1.0,0.7638974927455903,0.0,0.07679738562091502,0.6967871485943775,5.9593908629441615e-05,0.9878419452887538,0.31065989847715736,0.5157998037291462,1n7JnwviZ7zf0LR1tcGFq7 
Mulher Eu Sei,Chico César,4,4,0.7290589451913133,0.0502,0.36363636363636365,0.6828111245150141,1.0,0.051307189542483665,0.8825301204819278,4.111675126903553e-05,0.3910840932117528,0.531979695431472,0.49909808869573347,3mXqOdlLE1k67WsAxryPFs 
Rosa Morena,Kurt Elling,4,2,0.6732161323681489,0.119,0.5454545454545454,0.6552280655994263,1.0,0.04139433551198257,0.9196787148594379,0.00034822335025380707,0.10536980749746708,0.40812182741116754,0.5651712696854994,7bSzjzjTkWT2CkIPPdp0eA 
Desafinado,Stan Getz,4,4,0.4819027921406412,0.146,0.2727272727272727,0.6928368817449708,1.0,0.07069716775599129,0.9347389558232932,0.1563451776649746,0.10840932117527863,0.42944162436548217,0.6677181176690499,5pstSsK0G4q86gdyy1Spqh 
Madalena,Maria Gasolina,4,0,0.6980351602895554,0.207,1.0,0.7528284046819471,0.0,0.0593681917211329,0.9668674698795181,0.42030456852791875,0.11347517730496455,0.6944162436548224,0.437081172017384,33u3dO0JWjerYpFN61J3ug 
O Meu Amor É Glòria,Sílvia Pérez Cruz,4,3,0.5211995863495347,0.733,0.6363636363636364,0.8033647419386392,1.0,0.4237472766884532,0.6987951807228916,5.695431472081218e-05,0.6818642350557245,0.899492385786802,0.45125940464507686,0ylJQpV3K4XnhWhLDMFmH7 
The Girl From Ipanema,Stan Getz,4,2,0.6628748707342296,0.14,0.7272727272727273,0.704411333181181,1.0,0.042483660130718956,0.8704819277108434,0.0016852791878172587,0.10638297872340426,0.39390862944162436,0.6043179587831208,4xGFcQEIjtmbPD6Jsxq14M 
Samba de Verão,Marcos Valle,4,1,0.7207859358841778,0.405,0.0,0.740324736721985,1.0,0.03453159041394335,0.8162650602409638,0.00015939086294416242,0.3323201621073962,0.8578680203045684,0.5366278798074676,3gDzuF3Dy0K4RQszBFAYCv 
Não Sei,Sílvia Pérez Cruz,4,0,0.39503619441571874,0.0866,0.09090909090909091,0.7488017997456882,0.0,0.043137254901960784,0.9819277108433735,0.002,0.23708206686930094,0.15939086294416244,0.5189120986962008,52mwxbVQOtYXntgvyXyBc4 
A Força Que Nunca Seca (feat. Maria Bethânia),Chico César,4,4,0.5822130299896587,0.112,0.18181818181818182,0.7933226826644061,1.0,0.045206971677559916,0.893574297188755,0.0,0.3373860182370821,0.31675126903553297,0.5064348801345857,60FNhq77JIoQsUKwf0wf5m 
Águas De Março,Antônio Carlos Jobim,4,1,0.6608066184074457,0.552,0.2727272727272727,0.8267581754752046,1.0,0.1383442265795207,0.8353413654618473,0.0,0.12360688956433638,0.48121827411167506,0.6693817468105987,4P9HLmNcE6dUUvsPUvl3gs 
Chega De Saudade,João Gilberto,4,0,0.44053774560496384,0.245,0.36363636363636365,0.7175670829121972,0.0,0.03671023965141612,0.7379518072289157,0.0,0.1914893617021277,0.6964467005076143,0.8219916818542923,65GsUbgQju5Mh0Ab7CRUWB 
Don't Stop the Carnival,Sonny Rollins,4,1,0.49741468459152016,0.525,0.0,0.7950833034462521,1.0,0.06427015250544661,0.570281124497992,0.0,0.6838905775075989,0.8294416243654821,0.48910696761530914,014sDbzN0MSugmC703Ic4h 
Rebel Rebel,Seu Jorge,4,0,0.8014477766287488,0.206,0.5454545454545454,0.7228489452577354,0.0,0.05773420479302832,0.8825301204819278,0.00031776649746192894,0.14184397163120568,0.5614213197969543,0.5629235010981821,2rIzPAaLY6ocCanj5H7edQ 
Rosa Morena - Live At Carnegie Hall/1964,Stan Getz,4,2,0.547052740434333,0.134,0.6363636363636364,0.5408855270450914,1.0,0.09466230936819173,0.9096385542168676,0.12284263959390862,0.7031408308004052,0.48121827411167506,0.6243936632552923,37H0kOistSqxRH8rObQeIe 
Karoliina Kaunis,Maria Gasolina,4,0,0.7786970010341262,0.215,1.0,0.7226533207264191,0.0,0.3191721132897603,0.6204819277108434,0.004710659898477157,0.09240121580547113,0.3878172588832487,0.6090845366605916,7BlLxHwobm2gHjXev9dNVe 
"Brigas, Nunca Mais",João Gilberto,4,1,0.5129265770423992,0.242,0.36363636363636365,0.741025724625868,1.0,0.03616557734204793,0.7048192771084337,0.0,0.1752786220871327,0.7441624365482233,0.3863264638534511,4WfT503LMc9zLewdsok9un 
Aquarela Do Brasil,Gal Costa,4,1,0.5718717683557395,0.55,0.09090909090909091,0.7596589612337388,1.0,0.4335511982570806,0.8032128514056226,0.000734010152284264,0.9179331306990882,0.6893401015228426,0.6402916024113275,1wo6p8AMWXREZVowQCa4BC 
Kaipuusamba,Maria Gasolina,4,2,0.5604963805584282,0.224,0.5454545454545454,0.7152358905806788,1.0,0.06481481481481481,0.7771084337349399,0.09005076142131979,0.11550151975683892,0.5401015228426396,0.3724473106219917,1htDFdG7K6pW07cuIanjGG 
