,name,artist,cluster_main,sub_cluster,speechiness,liveness,valence,tempo,id
0,Se Eu Quiser Falar Com Deus,Gilberto Gil,0,3,0.053495644404735296,0.9877061776457331,0.2966645949865341,0.45666486413410845,1n7JnwviZ7zf0LR1tcGFq7 
1,Mulher Eu Sei,Chico César,0,3,0.02736207281661827,0.38428439709046214,0.5224777294385746,0.43250642152223884,3mXqOdlLE1k67WsAxryPFs 
2,Rosa Morena,Kurt Elling,0,0,0.0171990171990172,0.095379571765188,0.39610524135073544,0.5280789509260512,7bSzjzjTkWT2CkIPPdp0eA 
3,Desafinado,Stan Getz,0,0,0.047241456332365414,0.09845302735375475,0.4178578827429045,0.6764093551439773,5pstSsK0G4q86gdyy1Spqh 
4,Madalena,Maria Gasolina,0,2,0.03562653562653563,0.10357545333469934,0.688212140045577,0.34280113559551173,33u3dO0JWjerYpFN61J3ug 
5,O Meu Amor É Glòria,Sílvia Pérez Cruz,0,3,0.4092025910207728,0.6783116483966808,0.8974518334369173,0.3633094497769366,0ylJQpV3K4XnhWhLDMFmH7 
6,The Girl From Ipanema,Stan Getz,0,0,0.01831583649765468,0.09640405696137692,0.38160348042262277,0.5847032580775992,4xGFcQEIjtmbPD6Jsxq14M 
7,Samba de Verão,Marcos Valle,0,2,0.010163055617601075,0.32486425571150507,0.8549823907188729,0.4867919426794647,3gDzuF3Dy0K4RQszBFAYCv 
8,Não Sei,Sílvia Pérez Cruz,0,1,0.01898592807683717,0.22856264726974698,0.1423244251087632,0.4611666891983237,52mwxbVQOtYXntgvyXyBc4 
9,A Força Que Nunca Seca (feat. Maria Bethânia),Chico César,0,1,0.021107884744248382,0.3299866816924496,0.30287963538429663,0.4431188319589022,60FNhq77JIoQsUKwf0wf5m 
10,Águas De Março,Antônio Carlos Jobim,0,0,0.11659593477775294,0.11382030529658847,0.4706857261238864,0.6788157361092336,4P9HLmNcE6dUUvsPUvl3gs 
11,Chega De Saudade,João Gilberto,0,2,0.012396694214876037,0.1824608134412458,0.6902838201781645,0.899560632688928,65GsUbgQju5Mh0Ab7CRUWB 
12,Don't Stop the Carnival,Sonny Rollins,0,3,0.04065222247040427,0.6803606187890586,0.8259788688626475,0.4180546167365148,014sDbzN0MSugmC703Ic4h 
13,Rebel Rebel,Seu Jorge,0,2,0.0339513066785794,0.13226103882798895,0.5525170913610938,0.5248276328241178,2rIzPAaLY6ocCanj5H7edQ 
14,Rosa Morena - Live At Carnegie Hall/1964,Stan Getz,0,3,0.07181148090238999,0.699825837516648,0.4706857261238864,0.6137420575909153,37H0kOistSqxRH8rObQeIe 
15,Karoliina Kaunis,Maria Gasolina,0,0,0.3019879383515746,0.08226616125396989,0.37538844002486016,0.5915979451128835,7BlLxHwobm2gHjXev9dNVe 
16,"Brigas, Nunca Mais",João Gilberto,0,2,0.011838284565557296,0.16606905030222313,0.7389683032939713,0.2693862376639178,4WfT503LMc9zLewdsok9un 
17,Aquarela Do Brasil,Gal Costa,0,3,0.4192539647085101,0.9170166991086981,0.6830329397141082,0.6367378667027173,1wo6p8AMWXREZVowQCa4BC 
18,Kaipuusamba,Maria Gasolina,0,1,0.04121063211972302,0.10562442372707716,0.5307644499689248,0.24931053129647152,1htDFdG7K6pW07cuIanjGG 
19,Team Zissou,Seu Jorge,0,2,0.014295287022559753,0.08861796947034117,0.8000828672053035,0.3408138434500473,7bM4h5zu7FkChGbSeozZVN 
20,Once Again,Stan Getz,0,2,0.016305561760107213,0.06874295666427621,0.5835922933499067,0.32190077058266864,22QBm5IGpx49Ggg7b0DMhL 
21,Mariana,Bïa,0,2,0.0897922716104534,0.22753816207355806,0.8249430287963537,0.6571177504393674,4Lx7fiZRVb7j4U1xFZ9fyo 
22,Mariana,Seu Jorge,0,2,0.01675228947956221,0.09640405696137692,0.9440646364201367,0.844186832499662,2BkIiZYOniMrWBBlADyVNX 
23,Garota De Ipanema,Leila Pinheiro,0,0,0.03171766808130444,0.12304067206228873,0.5597679718251503,0.6355887521968366,1b0Mc4h1XFArQAnQYBmIQb 
24,August Day Song,Bebel Gilberto,0,1,0.01775742684833594,0.11689376088515523,0.2251916304122643,0.40694876301203187,7fnFmtEpfKLnJRkayFeeZ5 
25,Saudade Fez Um Samba,João Gilberto,0,2,0.034398034398034405,0.07837311750845202,0.8953801533043297,0.30410301473570367,0OIXsw1P2SZvF6T2qsFFzS 
26,OBI,Toots Thielemans,0,1,0.05974983247710519,0.07540211043950416,0.32877563704164076,0.2649046910909829,1FSrV96XeBhJZQ4qIaOR79 
27,Mas Que Nada,Jorge Ben Jor,0,2,0.006477551932097387,0.08124167605778097,0.573233892686969,0.3150331215357578,418er4nP9ZkcjB8oNzTEgb 
28,Só Danço Samba,Stan Getz,0,2,0.03663167299530935,0.12304067206228873,0.6809612595815207,0.261788562930918,4Wzym5Rbnn8Ny8rFqEObm1 
29,Samba Triste,Stan Getz,0,2,0.05025686843868661,0.11177133490421065,0.6913196602444582,0.6779370014870894,0KY71RFPZJPqR04jOQFUw2 
30,País Tropical,Wilson Simonal,0,2,0.012285012285012286,0.29208072943345975,0.929562875492024,0.5828781938623767,5bcc5zWUX4zjCnAvyyuHu4 
31,Coracao Vagabundo,Toots Thielemans,0,1,0.04701809247263791,0.05982993545743265,0.1102133830536565,0.37048803569014466,219DjV3d1L9rHlhNgQ5QQB 
32,Life On Mars?,Seu Jorge,0,0,0.030265802993075717,0.10869787931564391,0.26144603273254613,0.5491483033662297,6CWSXBQ2QwIqtRVDCGZatZ 
33,Apelo,Jenny Chi,0,1,0.014518650882287248,0.11689376088515523,0.14957530557281953,0.2646681086927132,55OpI2p7uXEzsDuhNf7Kzn 
34,Corcovado,Stan Getz,0,0,0.02713870895689077,0.2818358774715706,0.3567433188315724,0.5666554008381777,0bQViEvXvH8iNl8hRRkU5o 
35,Chega de Saudade,Jenny Chi,0,2,0.03037748492293946,0.143530375986067,0.5825564532836129,0.3794511288360146,1dtPIHAk2W9tn9WVW6hMzS 
36,Felicia and Bianca,Toots Thielemans,0,2,0.027473754746482015,0.09333060137281017,0.6302050963331262,0.42490874678923884,0OSEW45vRnj45QdIpV1NY4 
